"Position","Name","Salary","GameInfo","AvgPointsPerGame","Team","Opponent","Projection","Projection_dfn","Actual_fpts"
"SF/PF","Kevin Durant",11600,"LAL@GS 12/22/2017 10:30PM ET",49.029,"GS","LAL",57.79,56.1,65.25
"PG/SG","James Harden",11500,"LAC@HOU 12/22/2017 08:00PM ET",57.075,"HOU","LAC",66.39,65.6,73
"PG","Russell Westbrook",11400,"ATL@OKC 12/22/2017 08:00PM ET",54.766,"OKC","ATL",56.87,57.8,67.75
"SF/PF","Giannis Antetokounmpo",11300,"CHA@MIL 12/22/2017 08:00PM ET",56.036,"MIL","CHA",55.68,56,44.75
"PF/C","DeMarcus Cousins",11100,"NO@ORL 12/22/2017 07:00PM ET",54.823,"NO","ORL",56.95,56.3,54.25
"PF/C","Anthony Davis",10500,"NO@ORL 12/22/2017 07:00PM ET",48.817,"NO","ORL",54.43,53.8,39.25
"PG/SG","Chris Paul",9200,"LAC@HOU 12/22/2017 08:00PM ET",42.953,"HOU","LAC",0,0,0
"PG/SG","Stephen Curry",9100,"LAL@GS 12/22/2017 10:30PM ET",46.924,"GS","LAL",0,0,0
"C","Nikola Vucevic",8900,"NO@ORL 12/22/2017 07:00PM ET",40.117,"ORL","NO",47.22,46.9,36.5
"PG","John Wall",8700,"WAS@BKN 12/22/2017 07:30PM ET",41.288,"WAS","BKN",46.28,46,19
"C","Andre Drummond",8600,"NY@DET 12/22/2017 07:00PM ET",42.919,"DET","NY",43.2,41.6,44.75
"PF/C","Kristaps Porzingis",8400,"NY@DET 12/22/2017 07:00PM ET",41.031,"NY","DET",0,0,0
"PG","Damian Lillard",8300,"DEN@POR 12/22/2017 10:00PM ET",44.129,"POR","DEN",0,0,0
"C","DeAndre Jordan",7800,"LAC@HOU 12/22/2017 08:00PM ET",34.85,"LAC","HOU",39.12,39.1,47
"C","Dwight Howard",7600,"CHA@MIL 12/22/2017 08:00PM ET",36.097,"CHA","MIL",41.16,39.2,5.25
"SG","Bradley Beal",7500,"WAS@BKN 12/22/2017 07:30PM ET",37.702,"WAS","BKN",38.41,38.4,15.5
"PF/C","Draymond Green",7400,"LAL@GS 12/22/2017 10:30PM ET",35.94,"GS","LAL",38.53,38.8,40.25
"C","Nikola Jokic",7400,"DEN@POR 12/22/2017 10:00PM ET",39.083,"DEN","POR",40.68,40.2,50.25
"SF/PF","Aaron Gordon",7400,"NO@ORL 12/22/2017 07:00PM ET",35.904,"ORL","NO",0,0,0
"PF/C","Blake Griffin",7400,"LAC@HOU 12/22/2017 08:00PM ET",43.763,"LAC","HOU",0,0,0
"SG/SF","Khris Middleton",7400,"CHA@MIL 12/22/2017 08:00PM ET",36.422,"MIL","CHA",38.26,37.5,38.75
"PG/SG","Jrue Holiday",7300,"NO@ORL 12/22/2017 07:00PM ET",35.024,"NO","ORL",34.59,36.1,38
"SG","Klay Thompson",7200,"LAL@GS 12/22/2017 10:30PM ET",33.71,"GS","LAL",35.85,36.8,24.75
"PG/SG","Lou Williams",7200,"LAC@HOU 12/22/2017 08:00PM ET",32.207,"LAC","HOU",37.67,37,0
"SF","Paul George",7100,"ATL@OKC 12/22/2017 08:00PM ET",37.983,"OKC","ATL",38.46,39.1,32.75
"C","Clint Capela",7100,"LAC@HOU 12/22/2017 08:00PM ET",35.134,"HOU","LAC",0,0,0
"PG","Lonzo Ball",7000,"LAL@GS 12/22/2017 10:30PM ET",33.414,"LAL","GS",31.23,32.9,39.75
"PG/SG","CJ McCollum",7000,"DEN@POR 12/22/2017 10:00PM ET",33.3,"POR","DEN",40.72,39.5,22.75
"C","Hassan Whiteside",6900,"DAL@MIA 12/22/2017 08:00PM ET",36.95,"MIA","DAL",0,0,0
"SG/SF","Brandon Ingram",6800,"LAL@GS 12/22/2017 10:30PM ET",30.793,"LAL","GS",32.34,32.4,21.25
"PG","Kemba Walker",6800,"CHA@MIL 12/22/2017 08:00PM ET",37.267,"CHA","MIL",33.44,34.5,47
"PG/SG","D'Angelo Russell",6700,"WAS@BKN 12/22/2017 07:30PM ET",36.458,"BKN","WAS",0,0,0
"PG/SG","Eric Bledsoe",6700,"CHA@MIL 12/22/2017 08:00PM ET",32.591,"MIL","CHA",33.18,34,55.25
"SG/SF","Jonathon Simmons",6600,"NO@ORL 12/22/2017 07:00PM ET",24.398,"ORL","NO",35.05,30.7,37
"PG","Dennis Schroder",6600,"ATL@OKC 12/22/2017 08:00PM ET",34.819,"ATL","OKC",33.97,0,0
"PF/C","Paul Millsap",6500,"DEN@POR 12/22/2017 10:00PM ET",31.828,"DEN","POR",0,0,0
"C","Steven Adams",6500,"ATL@OKC 12/22/2017 08:00PM ET",29.894,"OKC","ATL",32.54,31.5,34.5
"PG/SG","Spencer Dinwiddie",6400,"WAS@BKN 12/22/2017 07:30PM ET",28.25,"BKN","WAS",35.34,32.7,28
"C","Jusuf Nurkic",6400,"DEN@POR 12/22/2017 10:00PM ET",30.259,"POR","DEN",34.05,33.9,9.25
"SF/PF","Harrison Barnes",6400,"DAL@MIA 12/22/2017 08:00PM ET",32.266,"DAL","MIA",30.11,30.7,25.5
"SF/PF","Kyle Kuzma",6300,"LAL@GS 12/22/2017 10:30PM ET",29.804,"LAL","GS",31.03,32.8,53.5
"PF/C","Enes Kanter",6200,"NY@DET 12/22/2017 07:00PM ET",29.417,"NY","DET",0,0,0
"SG/SF","Tim Hardaway",6200,"NY@DET 12/22/2017 07:00PM ET",31.238,"NY","DET",0,0,0
"SG","Gary Harris",6200,"DEN@POR 12/22/2017 10:00PM ET",29.357,"DEN","POR",29.42,28.6,29.5
"SG/SF","Kent Bazemore",6100,"ATL@OKC 12/22/2017 08:00PM ET",28.637,"ATL","OKC",26.75,28.7,27.75
"SG/SF","Josh Richardson",6100,"DAL@MIA 12/22/2017 08:00PM ET",22.548,"MIA","DAL",29.23,29,42.5
"SF/PF","James Johnson",6100,"DAL@MIA 12/22/2017 08:00PM ET",26.455,"MIA","DAL",0,0,0
"SF/PF","Tobias Harris",6000,"NY@DET 12/22/2017 07:00PM ET",29.282,"DET","NY",29.35,29.6,38.25
"SF/PF","Rondae Hollis-Jefferson",6000,"WAS@BKN 12/22/2017 07:30PM ET",27.806,"BKN","WAS",32.07,32.2,46.25
"SG/SF","Dion Waiters",6000,"DAL@MIA 12/22/2017 08:00PM ET",25.448,"MIA","DAL",31.65,30.9,9.75
"SG/SF","Will Barton",5900,"DEN@POR 12/22/2017 10:00PM ET",30.567,"DEN","POR",32.67,30.2,26.25
"PG","Goran Dragic",5900,"DAL@MIA 12/22/2017 08:00PM ET",29.862,"MIA","DAL",0,0,0
"SG","Eric Gordon",5900,"LAC@HOU 12/22/2017 08:00PM ET",27.375,"HOU","LAC",34.67,33.3,38
"SG","Kentavious Caldwell-Pope",5800,"LAL@GS 12/22/2017 10:30PM ET",28.29,"LAL","GS",25.25,26.2,28.75
"SF/PF","Otto Porter",5800,"WAS@BKN 12/22/2017 07:30PM ET",30.625,"WAS","BKN",30.2,30.1,14
"PG/SG","Jamal Murray",5800,"DEN@POR 12/22/2017 10:00PM ET",25.016,"DEN","POR",27.46,29.4,14.5
"SG/SF","Taurean Prince",5800,"ATL@OKC 12/22/2017 08:00PM ET",26.653,"ATL","OKC",28.1,26.1,18.25
"SG/SF","Evan Fournier",5700,"NO@ORL 12/22/2017 07:00PM ET",29.808,"ORL","NO",0,0,0
"PG","Rajon Rondo",5700,"NO@ORL 12/22/2017 07:00PM ET",26.088,"NO","ORL",28.96,27.6,20.75
"PG","Elfrid Payton",5600,"NO@ORL 12/22/2017 07:00PM ET",27.511,"ORL","NO",29.46,30.1,31.25
"SF/PF","Carmelo Anthony",5600,"ATL@OKC 12/22/2017 08:00PM ET",30.783,"OKC","ATL",30.96,30.9,33.25
"PF/C","Kelly Olynyk",5600,"DAL@MIA 12/22/2017 08:00PM ET",22.032,"MIA","DAL",35.42,31.3,23.5
"SF/PF","Danilo Gallinari",5600,"LAC@HOU 12/22/2017 08:00PM ET",24.591,"LAC","HOU",0,0,0
"PG/SG","Austin Rivers",5600,"LAC@HOU 12/22/2017 08:00PM ET",25.964,"LAC","HOU",29.75,29.3,54
"PG","Reggie Jackson",5500,"NY@DET 12/22/2017 07:00PM ET",27.048,"DET","NY",27.62,26.4,26
