"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11100,"Final",57.93,"HOU"
"SF/PF","LeBron James",11000,"Final",57.485,"CLE"
"PG","Russell Westbrook",10900,"Final",55.544,"OKC"
"SF/PF","Kevin Durant",10500,"Final",49.147,"GS"
"C","Joel Embiid",9500,"Final",47.19,"PHI"
"PG/SF","Ben Simmons",9300,"Final",43.93,"PHI"
"PG/SG","Stephen Curry",9100,"Final",46.924,"GS"
"PG/SG","Chris Paul",9000,"Final",42.953,"HOU"
"C","Karl-Anthony Towns",8900,"Final",43.574,"MIN"
"PF/C","Kristaps Porzingis",8600,"Final",40.019,"NY"
"SG","Jimmy Butler",8400,"Final",38.852,"MIN"
"PG","Kyrie Irving",8300,"Final",39.2,"BOS"
"PG","John Wall",8000,"Final",40.554,"WAS"
"PF/C","Kevin Love",7500,"Final",39.212,"CLE"
"SF/PF","Kyle Kuzma",7300,"Final",31.274,"LAL"
"PF/C","Draymond Green",7200,"Final",36.589,"GS"
"SG","Bradley Beal",7000,"Final",36.779,"WAS"
"PG","Lonzo Ball",6900,"Final",33.911,"LAL"
"SF","Paul George",6800,"Final",38.211,"OKC"
"PF/C","Al Horford",6700,"Final",34.816,"BOS"
"C","Clint Capela",6600,"Final",35.233,"HOU"
"SG","Klay Thompson",6400,"Final",33.522,"GS"
"SG/SF","Brandon Ingram",6300,"Final",30.475,"LAL"
"PF/C","Dario Saric",6200,"Final",27.148,"PHI"
"SF/PF","Robert Covington",6100,"Final",31.129,"PHI"
"PF/C","Enes Kanter",6100,"Final",31.442,"NY"
"PG","Jeff Teague",6000,"Final",31.142,"MIN"
"PG","Isaiah Thomas",6000,"Final",0,"CLE"
"SG/SF","Tim Hardaway Jr.",5900,"Final",31.238,"NY"
"PF/C","Taj Gibson",5800,"Final",26.816,"MIN"
"SG/SF","Andrew Wiggins",5700,"Final",28.551,"MIN"
"SG","Eric Gordon",5600,"Final",27.675,"HOU"
"SF/PF","Carmelo Anthony",5600,"Final",30.712,"OKC"
"C","Steven Adams",5500,"Final",30.207,"OKC"
"SF/PF","Jayson Tatum",5400,"Final",26.696,"BOS"
"SF/PF","Otto Porter Jr.",5300,"Final",30.129,"WAS"
"SG/SF","Jaylen Brown",5200,"Final",26.61,"BOS"
"SG","Kentavious Caldwell-Pope",5100,"Final",27.911,"LAL"
"PF/C","Julius Randle",5000,"Final",25.133,"LAL"
"SG/SF","JJ Redick",5000,"Final",27.345,"PHI"
"SF/PF","Michael Beasley",5000,"Final",18.019,"NY"
"SG/SF","Trevor Ariza",5000,"Final",25.308,"HOU"
"PG/SG","Dwyane Wade",5000,"Final",24.839,"CLE"
"C","Marcin Gortat",4900,"Final",25.022,"WAS"
"PF/C","Jordan Bell",4900,"Final",15.571,"GS"
"SG/SF","Marcus Smart",4800,"Final",24.414,"BOS"
"SG/SF","Courtney Lee",4800,"Final",25.136,"NY"
"PG/SG","Jordan Clarkson",4700,"Final",23.359,"LAL"
"SF/PF","P.J. Tucker",4700,"Final",18.227,"HOU"
"SF/PF","Marcus Morris",4600,"Final",22.412,"BOS"
"PG","Jarrett Jack",4600,"Final",20.573,"NY"
"PF/C","Ryan Anderson",4600,"Final",21.29,"HOU"
"PF","Mike Scott",4500,"Final",16.258,"WAS"
"SG/SF","Kelly Oubre Jr.",4500,"Final",22.647,"WAS"
"SF/PF","Larry Nance Jr.",4500,"Final",22.143,"LAL"
"PF/C","Richaun Holmes",4500,"Final",16.861,"PHI"
"SF/PF","Markieff Morris",4400,"Final",19.365,"WAS"
"C","Brook Lopez",4400,"Final",24.705,"LAL"
"SF/PF","Omri Casspi",4300,"Final",15.933,"GS"
"PF/C","Trevor Booker",4200,"Final",21.202,"PHI"
"PG/SG","Terry Rozier",4100,"Final",19.669,"BOS"
"SF/PF","Jeff Green",4100,"Final",18.743,"CLE"
"PG","T.J. McConnell",4000,"Final",20.491,"PHI"
"SG/SF","J.R. Smith",4000,"Final",17.591,"CLE"
"SG","Jamal Crawford",3900,"Final",15.801,"MIN"
"PF/C","Kyle O'Quinn",3900,"Final",19.061,"NY"
"PG/SG","Frank Ntilikina",3900,"Final",15.35,"NY"
"SG/SF","Andre Iguodala",3900,"Final",18.267,"GS"
"PG/SG","Jerryd Bayless",3800,"Final",16.426,"PHI"
"PG/SG","Markelle Fultz",3800,"Final",12.438,"PHI"
"C","Nene Hilario",3800,"Final",14.042,"HOU"
"PG","Jose Calderon",3800,"Final",11.28,"CLE"
"PG/SG","Tomas Satoransky",3700,"Final",13.37,"WAS"
"PG","Tim Frazier",3700,"Final",12.711,"WAS"
"C","Aron Baynes",3700,"Final",14.743,"BOS"
"PG/SG","Josh Hart",3700,"Final",11.269,"LAL"
"PF/C","Amir Johnson",3700,"Final",15.242,"PHI"
"SF/PF","Doug McDermott",3700,"Final",14.614,"NY"
"SF/PF","Jerami Grant",3700,"Final",16.205,"OKC"
"PG/SF","Patrick McCaw",3700,"Final",10.086,"GS"
"PG/SG","Shaun Livingston",3600,"Final",11,"GS"
"SG/SF","Kyle Korver",3600,"Final",16.934,"CLE"
"SG/SF","Corey Brewer",3500,"Final",7.102,"LAL"
"PF/C","Guillermo Hernangomez",3500,"Final",11.817,"NY"
"PF/C","David West",3500,"Final",16.5,"GS"
"SF/PF","Jae Crowder",3500,"Final",16.051,"CLE"
"PF/C","Tristan Thompson",3500,"Final",11.804,"CLE"
"C","Ian Mahinmi",3400,"Final",10.672,"WAS"
"PF/C","Daniel Theis",3400,"Final",12.821,"BOS"
"PG/SG","Tyus Jones",3400,"Final",12.625,"MIN"
"PF/C","Gorgui Dieng",3400,"Final",15.887,"MIN"
"SG/SF","Damyean Dotson",3400,"Final",6.056,"NY"
"SG/SF","Andre Roberson",3400,"Final",15.93,"OKC"
"SF/PF","Kevon Looney",3400,"Final",8.167,"GS"
"PG/SG","Iman Shumpert",3400,"Final",12.192,"CLE"
"PG","Derrick Rose",3400,"Final",19.786,"CLE"
"PG","Shane Larkin",3300,"Final",7.654,"BOS"
"SF/PF","Nemanja Bjelica",3300,"Final",12.987,"MIN"
"SG/SF","Shabazz Muhammad",3300,"Final",7.25,"MIN"
"SF/PF","Lance Thomas",3300,"Final",9.083,"NY"
"SG/SF","Timothe Luwawu-Cabarrot",3300,"Final",10.942,"PHI"
"PG/SG","Ron Baker",3300,"Final",10.7,"NY"
"SG/SF","Alex Abrines",3300,"Final",9.289,"OKC"
"PF/C","Channing Frye",3300,"Final",9.4,"CLE"
"C","Zaza Pachulia",3300,"Final",14.6,"GS"
"SG","Nick Young",3300,"Final",10.672,"GS"
"SG/SF","Semi Ojeleye",3200,"Final",6.279,"BOS"
"C","Ivica Zubac",3200,"Final",1.333,"LAL"
"PF/C","Patrick Patterson",3200,"Final",8.118,"OKC"
"SF/PF","Luc Richard Mbah a Moute",3200,"Final",15.948,"HOU"
"C","JaVale McGee",3200,"Final",8.732,"GS"
"SG","Jodie Meeks",3100,"Final",10.993,"WAS"
"PG","Ramon Sessions",3100,"Final",10.545,"NY"
"PG/SG","Raymond Felton",3100,"Final",13.64,"OKC"
"PG","Quinn Cook",3100,"Final",7.075,"GS"
"SG","Sheldon Mac",3000,"Final",0,"WAS"
"PF/C","Chris McCullough",3000,"Final",6.05,"WAS"
"SG","Devin Robinson",3000,"Final",0,"WAS"
"PF/C","Jason Smith",3000,"Final",6.933,"WAS"
"PF","Mike Young",3000,"Final",0,"WAS"
"SG","Jabari Bird",3000,"Final",3.667,"BOS"
"PF/C","Guerschon Yabusele",3000,"Final",4.654,"BOS"
"SG","Kadeem Allen",3000,"Final",2.5,"BOS"
"PF","Abdel Nader",3000,"Final",4.547,"BOS"
"SG/SF","Gordon Hayward",3000,"Final",3.25,"BOS"
"SG/SF","Anthony Brown",3000,"Final",0,"MIN"
"C","Cole Aldrich",3000,"Final",1.625,"MIN"
"SG/SF","Marcus Georges-Hunt",3000,"Final",1.633,"MIN"
"PG/SG","Aaron Brooks",3000,"Final",4.25,"MIN"
"C","Justin Patton",3000,"Final",0,"MIN"
"PF/C","Thomas Bryant",3000,"Final",1,"LAL"
"PG/SG","Vander Blue",3000,"Final",0.938,"LAL"
"PG/SG","Tyler Ennis",3000,"Final",4.75,"LAL"
"SF/PF","Luol Deng",3000,"Final",5,"LAL"
"C","Andrew Bogut",3000,"Final",7.776,"LAL"
"PG/SG","Alex Caruso",3000,"Final",3,"LAL"
"PG","Jacob Pullen",3000,"Final",0.5,"PHI"
"SG/SF","Justin Anderson",3000,"Final",9.875,"PHI"
"PF","James Michael McAdoo",3000,"Final",3.5,"PHI"
"SG/SF","Furkan Korkmaz",3000,"Final",3.583,"PHI"
"PF","Luke Kornet",3000,"Final",0,"NY"
"PF","Isaiah Hicks",3000,"Final",0,"NY"
"C","Joakim Noah",3000,"Final",7.188,"NY"
"C","Dakari Johnson",3000,"Final",6.333,"OKC"
"SF","Daniel Hamilton",3000,"Final",0,"OKC"
"PG/SG","PJ Dozier",3000,"Final",0,"OKC"
"SG/SF","Terrance Ferguson",3000,"Final",2.413,"OKC"
"SF/PF","Josh Huestis",3000,"Final",7.107,"OKC"
"SG/SF","Kyle Singler",3000,"Final",4.25,"OKC"
"PF/C","Nick Collison",3000,"Final",3.625,"OKC"
"PG","Briante Weber",3000,"Final",4.167,"HOU"
"PG","Bobby Brown",3000,"Final",4.292,"HOU"
"PG","Demetrius Jackson",3000,"Final",2.854,"HOU"
"PF/C","Tarik Black",3000,"Final",7.708,"HOU"
"SG","Troy Williams",3000,"Final",3.25,"HOU"
"PF/C","Chinanu Onuaku",3000,"Final",0,"HOU"
"PF/C","Zhou Qi",3000,"Final",3.731,"HOU"
"PF","Chris Boucher",3000,"Final",0,"GS"
"C","Damian Jones",3000,"Final",1.25,"GS"
"PG","London Perrantes",3000,"Final",0,"CLE"
"SG/SF","John Holland",3000,"Final",1.833,"CLE"
"PF/C","Ante Zizic",3000,"Final",3.775,"CLE"
"SG/SF","Cedi Osman",3000,"Final",5.292,"CLE"
